person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status,person_gender_male,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes
21,12282.0,0,1000.0,11.14,0.08,2,504,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
21,12951.0,0,2500.0,7.14,0.19,2,532,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
21,12739.0,0,1600.0,14.74,0.13,3,640,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
24,14283.0,1,1750.0,10.99,0.12,2,679,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24,13866.0,0,1500.0,7.29,0.11,3,600,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
21,14288.0,0,4575.0,17.74,0.32,3,626,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,14293.0,0,1400.0,9.32,0.1,3,607,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
21,14988.0,0,4000.0,12.84,0.27,2,553,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
21,14858.0,0,2000.0,11.12,0.13,3,589,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
21,15150.0,0,2500.0,7.51,0.17,4,600,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
24,15082.0,0,2500.0,12.69,0.17,3,631,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
24,15229.0,1,1750.0,11.01,0.11,3,631,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
22,15013.0,0,1500.0,14.84,0.1,3,688,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25,15162.0,1,3000.0,11.01,0.2,3,564,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
21,15307.0,0,3000.0,13.61,0.2,3,557,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
21,15252.0,0,4200.0,13.48,0.28,4,663,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
22,15432.0,3,4750.0,7.14,0.31,2,601,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
26,15505.0,0,2700.0,11.01,0.17,4,587,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
21,15394.0,0,3250.0,15.68,0.21,3,518,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,15928.0,1,1600.0,13.57,0.1,3,689,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
